,0,1,2
37,Joe Pitts,"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""",True
38, Club for Growth,"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",False
39,Harry Reid,"Senate Democrats ""have never held up a Supreme Court nomination.""",Mostly True
40,Barack Obama,"""There is not a single candidate in the Republican primary that thinks we should do anything about climate change.""",Mostly True
41,Donald Trump,"Says ""the New York Times can write a story that they know is false"" yet ""they can't basically be sued.""",False
42,Donald Trump,"""We (Trump University)have an A from the Better Business Bureau.""",False
43,Bernie Sanders,"Says he supported the 1994 crime bill because ""there is a ban on assault weapons in that bill.""",Half-True
44,Hillary Clinton,"""You are three times more likely to be able to get a mortgage if you're a white applicant than if you're black or Hispanic, even if you have the same credentials.""",False
45,Hillary Clinton,"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",True
46,Ted Cruz,"""A couple of debates ago, (Donald Trump) said if you dont support socialized health care, youre heartless.""",Pants on Fire!
47,Marco Rubio,"Says Donald Trump hired illegal workers ""from Poland and he had to pay a million dollars or so in a judgment.""",Half-True
48,Marco Rubio,"""When they passed Obamacare, they put a bailout fund in Obamacare.  We led the effort and wiped out that bailout fund.""",Mostly False
49,Donald Trump,"Says Ted Cruz""said I was in favor in Libya. I never discussed that subject.""",Pants on Fire!
50,Donald Trump,"""If it werent for me  (illegal immigration) wouldnt even be a big subject.""",False
51,Donald Trump,"Says that in the Philippines more than a century ago, Gen. John Pershing ""took 50 bullets, and he dipped them in pigs blood,"" and shot 49 Muslim rebels. ""The 50th person, he said, You go back to your people, and you tell them what happened. And for 25 years, there wasnt a problem.""",Pants on Fire!
52,Bill Clinton,"""The people that perpetrated that travesty in San Bernardino had never been to the Middle East.""",Pants on Fire!
53,Donald Trump,"With Obamacare,""You have no options ..you can't get competitive bidding.""",Mostly False
54,Ted Cruz,"""About 70 percentof Republicans nationwide ...don't think Donald Trump is the right guy"" to take on Hillary Clinton in November.",Mostly True
55,Marco Rubio,"""Two-thirds of our kids cant read at grade level.""",Half-True
56,Richard Blumenthal,"""There's never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",True
57,Jeb Bush,"""Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.""",Mostly True
58,Hillary Clinton,"Says she will ""work to raise the federal minimum wage back to the highest level its ever been$12 an hour in todays dollars.""",Half-True
59,Our Principles PAC,"Says Donald ""Trump supported impeachment of President (George W.) Bush.""",True
60,Ted Cruz,"Says ""the one person (Donald Trump)has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.""",Mostly False
61,John Kasich,"""When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.""",Mostly True
62,Ted Cruz,"""It has been 80 years since a Supreme Court vacancy was nominated and confirmed in an election year. There is a long tradition that you don't do this in an election year.""",Half-True
63,Marco Rubio,"""There comes a point in the last year of the president, especially in their second term, where you stop nominating"" both Supreme Court justices and Court of Appeals judges.",False
64,Ben Carson,"Says ""Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.""",Pants on Fire!
65,Donald Trump,"On the Iraq war, ""I said it loud and clear, 'You'll destabilize the Middle East.' """,False
66,Bernie Sanders,"The United States has ""the highest rate of childhood poverty of almost any major country on Earth.""",Half-True
67,Hillary Clinton,"Says Sen. Bernie Sanders has called President Barack Obama ""weak. He's called him a disappointment.""",Half-True
68,Bernie Sanders,"""The African-American community lost half of their wealth as a result of the Wall Street collapse.""",True
69,Hillary Clinton,"""Americans havent had a raise in 15 years.""",Mostly True
70,Bernie Sanders,"""In America, we pay, by far, the highest prices in the world for prescription drugs.""",Mostly True
71,Donald Trump,"""Don't believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number's probably 28, 29, as high as 35. In fact, I even heard recently 42 percent.""",Pants on Fire!
72,Jeb Bush,"""My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.""",Mostly True
73,Donald Trump,"""I'm self-funding my own campaign.""",Half-True
74,Marco Rubio,"Says Hillary Clinton ""believes that all abortions should be legal, even on the due date of that unborn child.""",False
75,Bernie Sanders,"""Not one Republican has the guts to recognize that climate change is real.""",False
76,Carly Fiorina,"Says she ""is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.""",True
77,Bernie Sanders,"""Tell me what Madeleine Albrights position was on the War on Iraq. I wouldnt be surprised if she supported it.""",Mostly False
78,Hillary Clinton,"""There really isnt any kind of foreign policy network that is supporting and advising Sen. Sanders.""",Mostly True
79,Donald Trump,"""Right now were the highest taxed country in the world.""",False
80,Donald Trump,"Regarding the Iraq War, ""I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East. """,Mostly False
81,Ted Cruz,"Says CNN reported Ben Carson was ""taking a break from campaigning"" and the Cruz campaign ""forwarded that news to our volunteers.""",False
82,Hillary Clinton,"""I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated"" before deciding whether to endorse it.",Half-True
83,Hillary Clinton,"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.""",Mostly True
84,Bernie Sanders,"Says a Sanders campaign ad ""never said ... a newspaper endorsed us that did not.""",False
85,Bernie Sanders,"Americans ""are working longer hours for low wages . . . and yet almost all new income and wealth is going to the top 1 percent.""",Half-True
86,Marco Rubio,"China is ""practicing how to blow up our satellites.""",True
87,Ted Cruz,"""During eight years under Ronald Reagan, African-American median income rose by about $5,000.""",Mostly False
88,Ted Cruz,"The 2013 immigration bill ""expanded President Obamas ability to bring Syrian refugees to this country without mandating any meaningful background checks.""",False
89,Bernie Sanders,"""While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.""",Half-True
90,Jeb Bush,"The debt ""comes up all the time in town meetings ... but it's never asked in the debates. It's really weird. It hasn't been brought up.""",False
91, Right to Rise,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",Half-True
92,Hillary Clinton,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, ""the Democrats didnt make that a partisan issue.""",Half-True
93,Ted Cruz,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",False
94,Marco Rubio,"""We have more illegal immigrants here"" than we did five years ago.",False
95,Ted Cruz,"Obamacare ""is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.""",Pants on Fire!
96,Donald Trump,"""I never once asked that (Megyn Kelly) be removed"" as a debate moderator.",False
97,Ben Carson,"""Last year, there were an additional 81,000 pages of government regulations. If you stack that up, it would be a three-story building.""",Mostly False
98,Rand Paul,"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.""",Mostly False
99,Chris Christie,"Neighbors of the San Bernardino shooters ""knew that they were talking about trying to take our country and attack it.""",False
100,Ted Cruz,"""I have not insulted Donald personally.""",Mostly False
101,Ted Cruz,"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.""",Mostly False
102,Hillary Clinton,"""I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.""",False
103,Bernie Sanders,Says his views on reparations for slavery are the same as Barack Obama's and Hillary Clinton's.,Mostly True
104,Bernie Sanders,"""Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.""",False
105,Martin O'Malley,"""Fifty years ago, the average GM employee could pay for a year of a son or daughters college tuition on just two weeks wages.""",Mostly True
106,Donald Trump,"Says a Ted Cruz ad has ""got me bull-dozing down a house.I never bulldozed it down. It's false advertising.""",Half-True
107,Bernie Sanders,"Says Donald Trump ""thinks that climate change is a hoax, invented by the Chinese.""",Mostly True
108,Donald Trump,"China has ""total control, just about, of North Korea.""",Mostly False
109,Bernie Sanders,"""I have a D-minus voting record from the NRA.""",Mostly True
110,Carly Fiorina,"The United States has a ""record number of abortions year after year after year.""",False
111,Hillary Clinton,"""Every piece of legislation, just about, that I ever introduced (in the U.S. Senate) had a Republican co-sponsor.""",False
112,Paul Ryan,"""Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.""",True
113,Bernie Sanders,"""Very little of (the defense) budget  less than 10 percent  actually goes into fighting ISIS and international terrorism.""",Mostly False
114,Bernie Sanders,"""I helped write"" the Affordable Care Act.",Mostly False
115,Hillary Clinton,"""We now have driven (health care) costs down to the lowest they've been in 50 years.""",False
116,Hillary Clinton,"SaysBernie Sanders ""voted for what we call the 'Charleston Loophole.'""",Mostly True
117,Hillary Clinton,"SaysBernie Sanders ""has reversed his position on immunity"" for gun manufacturers and sellers.",True
118,Marco Rubio,"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak.""",Pants on Fire!
119,Bernie Sanders,"Says Hillary Clinton called Barack Obama ""naive"" for saying he was would ""sit down and talk to the Iranians"" during the 2008 Democratic primary.",Half-True
120,Marco Rubio,"Says Sen. Ted Cruz used to be ""in favor of birthright citizenship"" but is now against it.",Mostly False
121,Ted Cruz,"Says Marco Rubio ""knows full well I voted for his amendment to increase military spending to $697 billion.""",True
122,Ted Cruz,"Says President Barack Obama ""appointed Eric Holder as attorney general. Eric Holder said he viewed his mission as brainwashing the American people against guns.""",Half-True
123,Chris Christie,"""I didnt support Sonia Sotomayor.""",False
124,Jeb Bush,"Says Hillary Clinton ""isunder investigation with the FBI right now.""",Half-True
125,Ted Cruz,"""We have the lowest percentage of Americans working today of any year since 1977.""",Mostly True
126,Donald Trump,"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""",False
127,Barack Obama,"""The United States of America, right now, has the strongest, most durable economy in the world.""",Mostly True
128, Conservative Solutions PAC,"Says Chris Christie ""instituted an Internet sales tax.""",Mostly False
129,Chelsea Clinton,"Says Bernie Sanders health care plan would ""empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans.""",Mostly False
130,Nancy  Pelosi,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",Pants on Fire!
131,Jeb Bush,"""As governor of Florida, I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.""",Half-True
132,Barack Obama,"""We spend more on our military than the next eight nations combined.""",Mostly True
133,Barack Obama,"We've ""lifted high school graduation rates to new highs.""",Half-True
134,Nikki Haley,"The economy is ""too weak to raise income levels.""",Mostly True
135,Barack Obama,"""Our businesses have created jobs every single month since (Obamacare) became law.""",True
136,Barack Obama,"We have cut ""our deficits by almost three-quarters.""",Mostly True
137,Donald Trump,"""We get practically nothing compared to the cost of"" keeping U.S. military forces in South Korea.",Mostly False
138,Donald Trump,"The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield.""",False
139,Carly Fiorina,"""When we held recent economic dialogues with China, we agreed on over 100 different things  including wildlife trafficking and volcano research. None of these 100-plus points of agreement addressed cybersecurity.""",Mostly False
140,Hillary Clinton,"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",Mostly True
141,Barack Obama,"""A violent felon can buy (a gun) over the Internet with no background check, no questions asked.""",Mostly True
142,Donald Trump,"A Trump television ad shows Mexicans swarming over ""our southern border.""",Pants on Fire!
143,Dan Patrick,"""Everywhere that we have more citizens carrying guns, crime is less. There's a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.""",Mostly False
144,Rand Paul,"""Both Cruz andRubio are missing the vast majority of their votes.""",Mostly False
145,Bernie Sanders,"""We didn't go out and take"" information from the Hillary Clinton campaign.",Mostly False
146,Hillary Clinton,"Says Bernie Sanders ""voted for regime change with respect to Libya.""",Mostly True
147,Chris Christie,"Says the Obama administration invited ""Russia into Syria.""",Mostly False
148,Donald Trump,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",True
149,Paul Ryan,"The Affordable Care Act is ""making families pay double-digit premium increases.""",Half-True
150,Bernie Sanders,"The United States spends ""almost three times per capita what they spend in the U.K."" on health care and ""50 percent more than they pay in France.""",True
151,Martin O'Malley,"""Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we don't need federal standards.""",Half-True
152,Hillary Clinton,"ISIS is ""going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.""",False
153,Ted Cruz,"""One of the most troubling aspects of the Rubio-Schumer Gang of Eight bill was that it gave President Obama blanket authority to admit refugees, including Syrian refugees, without mandating any background checks whatsoever.""",False
154,Andr  Carson,"""Our larger domestic threat is from racial supremacist groups.""",False
155,Donald Trump,"The 9/11 terrorists'friends, family, girlfriends in the United States""were sent back for the most part to Saudi Arabia. They knew what was going on. They went home, and they wanted to watch their boyfriends on television.""",False
156,Rand Paul,"""If you are going to kill the families of terrorists, realize that there's something called the Geneva Convention we're going to have to pull out of.""",True
157,Marco Rubio,"Regarding the USA Freedom Act, ""There is nothing we are allowed to do under this bill that we could not do before.""",Half-True
158,Ted Cruz,"Says carpet bombing means bombing ""not a city, but the location of the troops,"" with ""embedded special forces to direct the air power.""",False
159,Carly Fiorina,"""One of the things I would immediately do  is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.""",Mostly False
160,Rand Paul,"Says Marco Rubio ""is the one for an open border.""",Pants on Fire!
161,Jeb Bush,"""Two months ago, Donald Trump said that ISIS was not our fight.""",Mostly True
162,Ted Cruz,"""The head of the FBI has told Congress they cannot vet those (Syrian) refugees.""",Mostly False
163,Donald Trump,"""We're practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.""",Mostly False
164,Ted Cruz,"""Mike Morell testified and told Congress that the reason Obama has not bombed ISIS'oil fields is they're concerned about global warming.""",False
165,Marco Rubio,"""The states have always defined marriage.""",Half-True
166,Marco Rubio,"""Three or four countries"" out of roughly 60 in the anti-ISIS coalition ""are providing military force.""",Mostly True
167,Antonin Scalia,"""Most of the black scientists in this country don't come from schools like the University of Texas. They come from lesser schools.""",Half-True
168,Donald Trump,"Says 25 percent of U.S. Muslims ""agreed that violence against Americans here in the United States is justified as a part of the global jihad.""",Mostly False
169, Facebook posts,"Barack Obamas Columbia University ID says he was a foreign student and went by ""Barry Soetoro.""",Pants on Fire!
170,Rand Paul,"""In France, they have a (surveillance) program a thousandfold more invasive"" than the United States.",Mostly True
171,Alan Grayson,"""Technically, (Ted Cruz is) not even an American.""",Pants on Fire!
172, Chain email,"A Muslim immigrant in Michigan can list his second, third or fourth wives as ""extended family"" and qualify for welfare.",Mostly False
173,Hillary Clinton,"The Charleston, S.C., shooter""should have never been given a gun, but the universal background check was not fast enough.""",Mostly True
174,Marco Rubio,"""There are over 700,000 Americans on some watch list or another that would all be captured"" in a Democratic amendment intended to stop suspected terrorists from buying guns.",Mostly False
175,Hillary Clinton,"""Ted Cruz tried to ban contraception"" five times.",Mostly False
176,Jeb Bush,"""It is already in the law that there is a requirement to screen (refugees) for religion.""",Mostly True
177,Jeb Bush,"Says there are ""ample means"" to ""tell when someone is a Christian in the Middle East ... by name, by where theyre born, their birth certificates.""",Half-True
178,Ted Cruz,"""Heres the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats.""",Mostly False
179,Ben Carson,"""The Family Research Council, according to some government agencies, is a terrorist group.""",False
180,Bernie Sanders,"""Instead of fighting ISIS, (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen.""",True
181,Donald Trump,Says crime statistics show blacks kill 81 percent of white homicide victims.,Pants on Fire!
182,Hillary Clinton,"""The Libyan people have voted twice in free and fair elections for the kind of leadership they want.""",Half-True
183,Hillary Clinton,"""I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.""",Mostly True
184,Donald Trump,"""I watched in Jersey City, N.J., where thousands and thousands of people were cheering"" as the World Trade Center collapsed.",Pants on Fire!
185,Donald Trump,"The New York Police Department used to have ""surveillance going on in and around mosques in New York City. ... Our mayor totally cut that out.""",Half-True
186,John Bel Edwards,"Says David Vitter ""answered a prostitutes call minutes after he skipped a vote honoring 28 soldiers who gave their lives in defense of our freedom.""",Mostly True
187,Ben Carson,"""There is currently no ability to vet these people,"" referring to Syrian refugees.",Mostly False
188,Donald Trump,"The federal government is sending refugees to states with governors who are ""Republicans, not to the Democrats.""",Pants on Fire!
189,Barack Obama,"""The United States (is) the largest provider of humanitarian assistance to displaced persons and refugees.""",Mostly True
190, Viral image,"In Japan, ""permanent residency is not given to Muslims,"" the ""propagation of Islam"" is banned, ""one cannot import a Koran published in the Arabic language,"" and ""Muslims cannot even rent a house.""",Pants on Fire!
191,Hillary Clinton,"""Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.""",Half-True
192,Bernie Sanders,"Climate change is ""directly related"" to the growth of terrorism.",Mostly False
193,Ben Rhodes,"When President Barack Obama said ISIS, or ISIL, was contained, he ""was responding very specifically to the geographic expansion of ISIL in Iraq and Syria.""",True
194,Jeb Bush,"""It takes almost a year for a refugee to be processed in the United States.""",Mostly True
195,Bernie Sanders,"Out of the total U.S. military budget, ""significantly less than 10 percent of that money is used to fight international terrorism.""",Mostly False
196,Bernie Sanders,"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.""",Half-True
197,Bernie Sanders,Says income tax rates under Eisenhower were as high as 90 percent.,True
198,Martin O'Malley,"""Net immigration from Mexico last year was zero. Fact-check me.""",Mostly True
199,Hillary Clinton,"""Wages adjusted for inflation havent risen since the turn of the last century.""",Half-True
200,Ben Carson,"""The Chinese are there"" in Syria.",False
201,Carly Fiorina,"The Consumer Financial Protection Bureau has ""no congressional oversight.""",Half-True
202,Donald Trump,"The Trans-Pacific Partnership ""was designed for China to come in, as they always do, through the back door and totally take advantage of everyone.""",Pants on Fire!
203,Chris Christie,"The Democrats plan ""to raise your tax rates to 70 or 80 percent.""",False
204,Bernie Sanders,"""Over half of the black workers in this country earn less"" than $15 an hour.",Mostly True
205,Carly Fiorina,"""Obamacare isn't helping anyone.""",Pants on Fire!
206,Donald Trump,"Says President Dwight Eisenhower ""moved 1.5 million illegal immigrants out of this country.""",Half-True
207,Ben Carson,"Says Hillary Clinton told her daughter and a government official that Benghazi ""was a terrorist attack, and then tells everybody else that it was a video.""",Mostly False
208,Marco Rubio,"""Welders make more money than philosophers.""",False
209,Mike Huckabee,"""Only one out of five of the so-called Syrian refugees who went into Europe were actually Syrian.""",Mostly False
210,Ted Cruz,"""There are more words in the IRS code than there are in the Bible.""",True
211,Rand Paul,"Income inequality ""seems to be worst in cities run by Democrats.""",Half-True
212,Ben Carson,"""Every time we raise the minimum wage, the number of jobless people increases.""",False
213,Donald Trump,"""Were losing now over $500 billion a year in terms of imbalance with China.""",Mostly False
214,Bobby Jindal,"""Theres only one of us whos actually cut government spending -- not two, theres one and youre looking at him.""",Half-True
215,Chris Christie,"Says the United States is in ""the worst recovery from an economic recession since World War II.""",Half-True
216,Martin O'Malley,"""When President Obama was running for re-election  Senator Sanders was trying to find someone to primary him.""",Half-True
217,Ben Carson,"""Go look on the West Point website and youll see those specific words, full scholarship to West Point. So even though it is, you know, given as a grant for anybody who gets in, those words are used.""",Mostly True
218,Donald Trump,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",Half-True
219,Ben Carson,"""Every signer of the Declaration of Independence had no federal elected office experience.""",Pants on Fire!
220,Donald Trump,Says his plan would cut taxes without increasing the deficit.,False
221,Ben Carson,Says his tax plan wouldn't leave the federal government with a $1.1 trillion hole.,False
222,Marco Rubio,"Under his tax plan, ""the greatest gains, percentage-wise,"" will be ""at the lower end of our plan.""",Half-True
223,Donald Trump,"The CNBC debate was supposed to be three hours, and he ""renegotiated it down to two hours.""",Mostly False
224,Donald Trump,"Says Ohio Gov. John Kasich ""got lucky with a thing called fracking,"" which ""is why Ohio is doing well.""",False
225,Rand Paul,"The debt limit deal ""allows President Obama to borrow unlimited amounts of money.""",Mostly False
226,Jeb Bush,"""If you look at the three people on the (debate) stage from the United States Senate, all three of them have a combined two bills that became law that they've sponsored.""",Mostly True
227,Carly Fiorina,"""We have record numbers of people living in poverty.""",Half-True
228,Ben Carson,"Among manufacturers with fewer than 50 employees, ""the average cost in terms of regulations is $34,000 per employee.""",Half-True
229,Ted Cruz,"""Under Barack Obama and the big government economy, the median wage for women has dropped $733.""",False
230,Carly Fiorina,"""92 percent of the jobs lost during Barack Obamas first term belonged to women.""",False
231,Ben Carson,"Says he ""didnt have an involvement with""nutritional supplement company Mannatech.",False
232,Donald Trump,"""I never said that"" Marco Rubio was Mark Zuckerbergs personal senator.",Pants on Fire!
233,Marco Rubio,"""For the first time in 35 years, we have more businesses closing than starting.""",Half-True
234,Chris Christie,"Bernie Sanderss plan is ""to raise your taxes to 90 percent.""",Pants on Fire!
235, Viral image,"Unlike Benghazi, there were no investigations of the 1983 Beirut barracks bombing, none about key aspects of the 9/11 attacks and the Iraq War, and none about embassy attacks under George W. Bush.",Mostly False
236,Ben Carson,"""German citizens were disarmed by their government in the late 1930s,"" which allowed the Nazis to ""carry out their evil intentions with relatively little resistance.""",False
237,Donald Trump,"Because of Obamacare ""peoples premiums ...are going up 35, 45, 55 percent.""",Half-True
238,Hillary Clinton,"Says John Kerry ""is the first secretary of state to rely primarily on a government account.""",Mostly True
239, Viral image,Says Denmarks suicide rate has been about twice as high as the United States over the past five decades.,Mostly False
240,Martin O'Malley,"Says Hillary Clinton ""couldn't bring herself to say we need to separate commercial banking and speculative banking, namely reinstating Glass-Steagall.""",Mostly True
241,Donald Trump,"Says CIA Director George Tenet told the Bush administration that the Sept. 11, 2001, terrorist attack ""was coming. So they did have advanced notice.""",False
242,Ted Cruz,"""Republican leadership took the lead confirming Loretta Lynch as attorney general.""",Mostly False
243, Viral image,"Says Bernie Sanders once said, ""Instead of removing the conditions that make people depressed, modern society gives them antidepressant drugs.""",Pants on Fire!
244,Hillary Clinton,"The gun industry is""the only business in America that is wholly protected from any kind of liability.""",False
245,Jim Webb,"""Fifteen out of the 20 most polluted cities in the world"" are in India and China.",Mostly True
246,Bernie Sanders,"""We are imprisoning or giving jail sentences to young people who are smoking marijuana.""",Mostly False
247,Hillary Clinton,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""",Mostly False
248,Bernie Sanders,"""Every other major country"" has family paid leave.",Mostly True
249,Hillary Clinton,On the Keystone XL pipeline,No Flip
250,Bernie Sanders,"""Today in America, we have more people in jail than any other country on Earth.""",Mostly True
251,Hillary Clinton,"Says as secretary of state she was reserving judgment about the Trans-Pacific Partnership and ""hoped it would be the gold standard.""",Half-True
252,Bernie Sanders,"""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",Half-True
253,Hillary Clinton,"""Sen. Sanders did vote five times against the Brady bill.""",True
254,Hillary Clinton,"""There have been seven investigations (of Benghazi) led mostly by Republicans in the Congress"" that concluded ""nobody did anything wrong, but there were changes we could make.""",Mostly True
255,Debbie Wasserman Schultz,"""When we had a conservative Republican president we were losing 750,000 jobs a month.""",Mostly True
256,Dave Brat,"Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference ""for voting our conscience.""",False
257,Ben Carson,"""In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And that's where they first established relationships with the young Vladimir Putin.""",Pants on Fire!
258,Hillary Clinton,"""While 38 percent of (firearms) dealers that were inspected in 2011 were noncompliant with federal law, only 0.05 percent of inspected dealers had their licenses revoked.""",Mostly True
259,Hillary Clinton,On the Trans-Pacific Partnership.,Full Flop
